symbol,sector,industry,country,shares_outstanding
DOV,Industrials,Machinery,United States of America,260031000
DOW,Materials,Chemicals,United States of America,784471939
DOX.O,Information Technology,IT Services,United States of America,288485000
DPZ.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,34281927
DRI,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,118900000
DRIO.O,Health Care,Health Care Technology,United States of America,27191849
DRRX.O,Health Care,Pharmaceuticals,United States of America,30334000
DRTS.O,Health Care,Health Care Equipment & Supplies,Israel,69670612
DRVN.O,Industrials,Commercial Services & Supplies,United States of America,163965231
DSGN.O,Health Care,Biotechnology,United States of America,56473598
DSGR.O,Industrials,Trading Companies & Distributors,United States of America,47535618
DSGX.O,Information Technology,Software,Canada,85183455
DSP.O,Information Technology,Software,United States of America,15937816
DSWL.O,Information Technology,"Electronic Equipment, Instruments & Components",Macau,17081810
DTC,Consumer Discretionary,Leisure Products,United States of America,57947711
DTCK.O,Consumer Staples,Consumer Staples Distribution & Retail,Singapore,24500625
DTI.O,Energy,Energy Equipment & Services,United States of America,29768568
DTIL.O,Health Care,Biotechnology,United States of America,4191053
DTM,Energy,"Oil, Gas & Consumable Fuels",United States of America,96971021
DUOL.O,Consumer Discretionary,Diversified Consumer Services,United States of America,42526000
DV,Information Technology,Software,United States of America,171168000
DVA,Health Care,Health Care Providers & Services,United States of America,90369000
DVN,Energy,"Oil, Gas & Consumable Fuels",United States of America,651000000
DXC,Information Technology,IT Services,United States of America,183430878
DXCM.O,Health Care,Health Care Equipment & Supplies,United States of America,408900000
DXLG.O,Consumer Discretionary,Specialty Retail,United States of America,79033378
DXR.O,Health Care,Health Care Equipment & Supplies,United States of America,5316530
DY,Industrials,Construction & Engineering,United States of America,29091278
DYN.O,Health Care,Biotechnology,United States of America,61468743
EA.O,Communication Services,Entertainment,United States of America,266000000
EAF,Industrials,Electrical Equipment,United States of America,257263710
EARN.K,Financials,Capital Markets,United States of America,18601464
EAT,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,60300000
EB,Communication Services,Entertainment,United States of America,101276416
EBAY.O,Consumer Discretionary,Broadline Retail,United States of America,1735000000
EBC.O,Financials,Banks,United States of America,213909472
EBF,Industrials,Commercial Services & Supplies,United States of America,30053443
EBMT.O,Financials,Banks,United States of America,8507429
EBON.O,Information Technology,"Technology Hardware, Storage & Peripherals",Singapore,6543938
EBS,Health Care,Biotechnology,United States of America,57800000
EBTC.O,Financials,Banks,United States of America,12447308
ECDA.O,Consumer Discretionary,Automobiles,United States of America,94395987
ECG,Industrials,Construction & Engineering,United States of America,50980924
ECL,Materials,Chemicals,United States of America,367863429
